               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082199,            0.059211,             0.06713,            0.067161,             0.22723,             0.10505,            0.041456,             0.05503,             0.02318,            0.049484,            0.003326,            0.003326,            0.070066
                   1,            0.060443,             0.05135,            0.045678,             0.35503,             0.38535,             0.29225,             0.12961,             0.05678,             0.02109,            0.034334,           0.0066579,           0.0066579,            0.040064
                   2,            0.062479,            0.049221,            0.037727,              0.2859,             0.40044,             0.25213,            0.089898,            0.063824,            0.022766,            0.030965,           0.0099838,           0.0099838,            0.010057
                   3,            0.060287,            0.062995,            0.038463,             0.41092,             0.27906,             0.24584,            0.094838,            0.057469,            0.026761,            0.033712,             0.00998,             0.00998,             0.00998
