               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.039291,             0.03563,           0.0052938,             0.83732,             0.53803,              0.6251,             0.29984,            0.036055,            0.023314,           0.0037704,           0.0076679,           0.0076679,           0.0076679
                  36,            0.039265,            0.036474,           0.0052561,             0.84119,             0.53477,               0.629,             0.29583,            0.036062,             0.02339,           0.0040315,            0.007543,            0.007543,            0.007543
                  37,            0.039147,            0.036172,           0.0051037,             0.83187,             0.54471,             0.62687,             0.30206,            0.035869,            0.023256,           0.0038766,            0.007416,            0.007416,            0.007416
                  38,            0.038893,            0.037226,           0.0049021,             0.85938,             0.51981,             0.61987,             0.30126,            0.035815,            0.023112,           0.0037284,           0.0072872,           0.0072872,           0.0072872
                  39,            0.038988,            0.036846,           0.0051217,             0.84956,             0.53546,             0.63162,             0.30322,            0.035771,            0.023197,           0.0038704,           0.0071566,           0.0071566,           0.0071566
                  40,             0.03888,            0.036204,           0.0048311,              0.8435,             0.53403,             0.62948,             0.30256,            0.035489,            0.023198,           0.0036641,           0.0070243,           0.0070243,           0.0070243
                  41,            0.038828,            0.036882,           0.0050154,             0.78959,             0.57185,             0.62693,             0.30408,            0.035613,            0.023074,           0.0036966,           0.0068906,           0.0068906,           0.0068906
                  42,            0.038428,            0.036785,           0.0048157,             0.80564,             0.56952,             0.63931,             0.31171,            0.035604,             0.02303,            0.003543,           0.0067555,           0.0067555,           0.0067555
                  43,            0.038544,            0.036239,            0.004834,             0.77376,             0.59332,             0.64763,             0.31341,            0.035552,            0.022976,            0.003434,           0.0066191,           0.0066191,           0.0066191
                  44,             0.03831,            0.036319,           0.0047457,             0.80898,             0.57279,             0.64457,             0.31204,            0.035363,            0.023002,           0.0035186,           0.0064816,           0.0064816,           0.0064816
                  45,              0.0384,            0.036689,           0.0047431,             0.84091,             0.56203,             0.65573,             0.31012,             0.03544,            0.023007,           0.0034295,           0.0063432,           0.0063432,           0.0063432
                  46,             0.03806,            0.036791,            0.004743,             0.79598,             0.58751,             0.64844,             0.31209,            0.035102,            0.022939,           0.0033993,            0.006204,            0.006204,            0.006204
                  47,            0.037875,            0.035681,           0.0046154,             0.81428,             0.58456,             0.65656,             0.31782,            0.035173,            0.022963,           0.0033646,            0.006064,            0.006064,            0.006064
                  48,            0.037758,            0.035514,           0.0045335,             0.83863,             0.58868,             0.66879,             0.32169,            0.035121,            0.022877,           0.0033758,           0.0059235,           0.0059235,           0.0059235
                  49,            0.037749,            0.035372,           0.0044922,             0.84356,             0.57617,             0.65899,             0.32222,            0.035142,            0.022808,           0.0033217,           0.0057826,           0.0057826,           0.0057826
                  50,            0.037504,            0.034946,           0.0044191,             0.80651,             0.59906,             0.66583,             0.32578,            0.035019,            0.022784,           0.0032433,           0.0056413,           0.0056413,           0.0056413
                  51,            0.037418,            0.035056,           0.0044272,             0.79544,             0.59986,             0.65983,             0.32711,            0.034979,            0.022791,           0.0032407,              0.0055,              0.0055,              0.0055
                  52,            0.037323,            0.034707,           0.0043292,             0.84686,             0.56835,             0.65816,             0.32621,            0.035101,             0.02273,           0.0032441,           0.0053587,           0.0053587,           0.0053587
                  53,            0.037331,            0.035201,           0.0044966,             0.81639,             0.59556,             0.67484,             0.33324,            0.035006,            0.022725,           0.0032558,           0.0052174,           0.0052174,           0.0052174
                  54,            0.037427,            0.036083,           0.0044178,             0.83682,             0.59051,             0.68272,             0.33821,             0.03498,            0.022668,           0.0032071,           0.0050765,           0.0050765,           0.0050765
                  55,            0.037197,            0.034539,           0.0043542,             0.77134,             0.63871,             0.69495,             0.34027,            0.034798,            0.022675,           0.0031744,            0.004936,            0.004936,            0.004936
                  56,            0.037138,            0.034701,           0.0043517,             0.79065,               0.634,             0.69833,             0.34521,            0.034813,             0.02262,           0.0030929,            0.004796,            0.004796,            0.004796
                  57,            0.037016,            0.035085,           0.0042311,             0.79745,             0.62041,             0.69958,              0.3445,            0.034769,            0.022573,           0.0031454,           0.0046568,           0.0046568,           0.0046568
                  58,            0.036787,            0.035429,           0.0039668,             0.82867,             0.60504,               0.702,             0.34435,             0.03477,            0.022593,           0.0031086,           0.0045184,           0.0045184,           0.0045184
                  59,            0.036539,            0.035591,            0.004148,             0.79658,             0.63316,             0.69802,             0.33885,            0.034677,             0.02255,           0.0030608,           0.0043809,           0.0043809,           0.0043809
                  60,            0.036509,            0.034384,           0.0040161,             0.79705,             0.63717,             0.69764,              0.3462,            0.034616,            0.022488,           0.0030468,           0.0042445,           0.0042445,           0.0042445
                  61,            0.036392,            0.034711,           0.0039866,             0.79771,              0.6292,             0.69389,             0.34564,            0.034528,             0.02248,           0.0030672,           0.0041094,           0.0041094,           0.0041094
                  62,            0.036213,            0.034069,            0.003997,             0.79489,             0.63145,             0.70333,             0.35575,            0.034442,            0.022465,           0.0030343,           0.0039757,           0.0039757,           0.0039757
                  63,            0.036306,            0.033831,           0.0038761,             0.79892,              0.6289,             0.70843,              0.3552,            0.034493,            0.022481,           0.0030224,           0.0038434,           0.0038434,           0.0038434
                  64,             0.03607,            0.033841,           0.0037189,             0.83745,             0.61047,             0.71045,             0.35257,            0.034416,            0.022479,           0.0029832,           0.0037128,           0.0037128,           0.0037128
                  65,            0.035982,            0.034018,           0.0038865,             0.84229,             0.60949,              0.7156,             0.35499,            0.034379,            0.022431,           0.0029313,            0.003584,            0.003584,            0.003584
                  66,            0.036022,            0.034634,           0.0038243,             0.83635,             0.61001,             0.71058,             0.35142,             0.03429,            0.022405,            0.002917,            0.003457,            0.003457,            0.003457
                  67,            0.035786,            0.034101,           0.0037632,             0.85247,             0.59894,             0.71131,             0.35168,            0.034318,            0.022353,           0.0028792,           0.0033321,           0.0033321,           0.0033321
                  68,            0.035821,            0.034209,           0.0037085,             0.85643,             0.59417,             0.70783,             0.35536,            0.034293,            0.022343,           0.0028728,           0.0032093,           0.0032093,           0.0032093
                  69,             0.03563,            0.033594,           0.0036469,             0.81533,             0.62381,             0.72767,             0.35764,            0.034307,             0.02236,           0.0028625,           0.0030888,           0.0030888,           0.0030888
                  70,            0.035596,            0.034615,            0.003535,             0.80702,             0.63035,             0.72525,             0.35907,            0.034239,            0.022322,           0.0028685,           0.0029706,           0.0029706,           0.0029706
                  71,            0.035618,            0.034215,            0.003524,             0.84004,             0.62819,             0.73163,             0.36208,            0.034225,            0.022286,           0.0028796,            0.002855,            0.002855,            0.002855
                  72,            0.035314,            0.033977,           0.0035585,             0.85562,              0.6176,             0.73736,              0.3664,            0.034139,            0.022266,           0.0028926,           0.0027419,           0.0027419,           0.0027419
                  73,            0.035144,            0.033645,           0.0036395,             0.85963,             0.62017,             0.74397,             0.36833,            0.034125,            0.022249,           0.0028603,           0.0026316,           0.0026316,           0.0026316
                  74,            0.035334,            0.034361,           0.0035111,             0.87074,             0.62116,             0.74631,             0.36812,            0.034117,            0.022227,           0.0028551,           0.0025241,           0.0025241,           0.0025241
                  75,            0.035061,            0.033814,             0.00347,             0.85945,             0.62298,              0.7508,             0.36895,            0.034036,            0.022205,            0.002835,           0.0024195,           0.0024195,           0.0024195
                  76,            0.034938,            0.033547,            0.003454,             0.82109,             0.66221,             0.74773,             0.36974,            0.034059,             0.02219,           0.0028139,            0.002318,            0.002318,            0.002318
                  77,            0.035049,             0.03364,           0.0035018,             0.79801,             0.67446,             0.75077,             0.37206,            0.034024,            0.022173,           0.0027798,           0.0022196,           0.0022196,           0.0022196
                  78,            0.034672,              0.0334,           0.0033484,             0.84686,             0.62798,             0.74239,             0.37124,            0.034028,            0.022158,           0.0027541,           0.0021245,           0.0021245,           0.0021245
                  79,            0.034565,             0.03217,           0.0033558,             0.82912,             0.64376,             0.74624,             0.37639,            0.034001,            0.022153,           0.0027482,           0.0020327,           0.0020327,           0.0020327
                  80,            0.034586,            0.033275,           0.0032957,             0.82012,             0.67387,             0.76075,             0.37976,            0.033951,            0.022127,           0.0027441,           0.0019443,           0.0019443,           0.0019443
                  81,            0.034587,            0.034018,           0.0032222,             0.85545,             0.64642,             0.76032,             0.37937,            0.033907,            0.022116,           0.0027291,           0.0018594,           0.0018594,           0.0018594
                  82,             0.03439,            0.032956,           0.0031389,             0.83953,             0.67326,             0.76579,             0.38297,             0.03387,            0.022108,           0.0027194,           0.0017781,           0.0017781,           0.0017781
                  83,            0.034544,            0.032997,           0.0033404,             0.83911,             0.67116,             0.76509,             0.38239,            0.033831,            0.022097,           0.0027222,           0.0017005,           0.0017005,           0.0017005
                  84,            0.034368,            0.032824,           0.0032584,             0.83707,             0.67792,             0.76759,              0.3822,            0.033832,            0.022092,           0.0027274,           0.0016267,           0.0016267,           0.0016267
