               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041334,            0.050742,            0.017791,             0.64805,              0.5564,             0.60146,             0.33955,            0.040874,            0.023696,            0.017135,            0.007543,            0.007543,            0.007543
                  37,            0.040664,            0.050111,            0.018191,             0.66105,             0.53928,              0.5939,             0.32958,               0.041,            0.023585,            0.018679,            0.007416,            0.007416,            0.007416
                  38,            0.040445,            0.050832,            0.017308,             0.64359,             0.56497,              0.5908,             0.33365,            0.040199,            0.023551,            0.018261,           0.0072872,           0.0072872,           0.0072872
                  39,            0.040077,            0.048789,            0.016696,             0.61314,             0.55967,              0.5885,             0.32089,            0.040802,            0.023146,            0.019536,           0.0071566,           0.0071566,           0.0071566
                  40,            0.039387,            0.047225,            0.016446,             0.72643,             0.52223,             0.60484,              0.3388,            0.040045,            0.022408,            0.019132,           0.0070243,           0.0070243,           0.0070243
                  41,            0.039698,            0.047506,             0.01655,             0.61848,             0.58184,             0.61449,             0.35956,            0.041174,            0.023122,            0.017049,           0.0068906,           0.0068906,           0.0068906
                  42,            0.040051,            0.050467,            0.016582,             0.65799,             0.56824,             0.60998,             0.33895,            0.040431,            0.023029,            0.017466,           0.0067555,           0.0067555,           0.0067555
                  43,            0.039462,            0.047556,            0.015828,             0.58987,             0.60859,             0.60113,             0.34331,            0.039698,            0.023328,            0.018205,           0.0066191,           0.0066191,           0.0066191
                  44,            0.039323,            0.050054,            0.016081,             0.67435,             0.56966,              0.6205,             0.35678,            0.040243,            0.023387,            0.016897,           0.0064816,           0.0064816,           0.0064816
                  45,            0.039113,            0.051452,              0.0158,             0.66076,             0.57626,             0.61353,             0.34055,             0.03929,            0.023079,            0.016689,           0.0063432,           0.0063432,           0.0063432
                  46,            0.038558,            0.047247,            0.014756,             0.65173,             0.58242,             0.61827,             0.34962,            0.039123,            0.022818,            0.017388,            0.006204,            0.006204,            0.006204
                  47,            0.038231,            0.050932,            0.015547,             0.68249,             0.58291,             0.63365,             0.35577,            0.039137,            0.022905,            0.016933,            0.006064,            0.006064,            0.006064
                  48,            0.038268,            0.048811,            0.015875,             0.70415,             0.58064,             0.63528,             0.35256,            0.039437,            0.023052,            0.016776,           0.0059235,           0.0059235,           0.0059235
                  49,            0.037617,            0.047939,            0.015203,             0.69453,             0.59596,             0.62462,              0.3614,            0.038509,            0.022956,            0.017902,           0.0057826,           0.0057826,           0.0057826
                  50,            0.037557,            0.048533,            0.015071,              0.6943,             0.59675,             0.62976,              0.3586,             0.03928,             0.02317,            0.017087,           0.0056413,           0.0056413,           0.0056413
                  51,            0.037662,            0.049267,            0.015501,             0.68214,             0.59356,             0.62145,             0.36295,            0.039661,            0.022839,            0.017284,              0.0055,              0.0055,              0.0055
                  52,            0.037443,            0.047534,            0.014064,             0.66544,             0.62034,             0.63801,             0.37818,            0.039078,            0.022908,            0.015605,           0.0053587,           0.0053587,           0.0053587
                  53,             0.03706,            0.045071,            0.013912,             0.70223,             0.61257,             0.65138,             0.38207,            0.039037,            0.022976,            0.015798,           0.0052174,           0.0052174,           0.0052174
                  54,            0.036992,             0.04606,            0.013261,             0.67383,             0.60353,             0.62902,              0.3698,            0.039592,            0.022981,             0.01588,           0.0050765,           0.0050765,           0.0050765
                  55,            0.036438,            0.044831,             0.01357,             0.72797,             0.56129,             0.64906,              0.3896,            0.039377,            0.023148,            0.015206,            0.004936,            0.004936,            0.004936
                  56,            0.036238,            0.046741,            0.014197,             0.66845,             0.62217,             0.64536,             0.37455,            0.038304,            0.022743,            0.015658,            0.004796,            0.004796,            0.004796
                  57,            0.036106,            0.046963,            0.013323,             0.75308,             0.56902,             0.64985,             0.38372,            0.038781,            0.022744,            0.015654,           0.0046568,           0.0046568,           0.0046568
                  58,            0.035866,            0.046371,            0.012999,              0.8054,             0.55475,             0.66449,             0.39424,            0.038147,            0.022943,            0.016344,           0.0045184,           0.0045184,           0.0045184
                  59,             0.03582,            0.046777,            0.012879,             0.72943,             0.59407,             0.64596,             0.38553,            0.038737,            0.022668,            0.016161,           0.0043809,           0.0043809,           0.0043809
                  60,            0.035654,            0.046536,            0.012608,             0.70097,             0.57406,             0.64059,             0.38191,            0.037818,            0.022697,            0.015097,           0.0042445,           0.0042445,           0.0042445
                  61,            0.035646,            0.047525,            0.012147,             0.67567,              0.6308,             0.65643,             0.39371,            0.037477,            0.022823,            0.014697,           0.0041094,           0.0041094,           0.0041094
                  62,            0.034956,            0.043144,            0.012295,             0.68678,             0.61435,             0.65025,             0.38582,            0.037513,            0.022946,            0.015227,           0.0039757,           0.0039757,           0.0039757
                  63,            0.034592,            0.043233,            0.011578,             0.72814,             0.58909,             0.65282,             0.39429,            0.037588,             0.02264,            0.015694,           0.0038434,           0.0038434,           0.0038434
                  64,            0.035289,            0.046262,             0.01194,              0.6566,             0.65229,             0.66351,              0.3919,            0.037591,            0.022806,            0.014499,           0.0037128,           0.0037128,           0.0037128
                  65,            0.034327,            0.041814,            0.011772,              0.6979,             0.61608,             0.65487,             0.40032,            0.038659,            0.022844,            0.014009,            0.003584,            0.003584,            0.003584
                  66,            0.034171,            0.044591,            0.011728,             0.72606,              0.5801,               0.645,             0.38986,            0.037958,            0.022963,            0.015544,            0.003457,            0.003457,            0.003457
                  67,             0.03377,            0.040502,            0.011462,             0.74515,             0.60373,             0.67072,              0.4035,            0.037497,            0.022846,            0.015058,           0.0033321,           0.0033321,           0.0033321
                  68,            0.033935,            0.043222,            0.011577,             0.71543,             0.61795,              0.6553,             0.38844,            0.037459,            0.023006,            0.015289,           0.0032093,           0.0032093,           0.0032093
                  69,            0.033676,            0.045332,            0.011786,             0.72561,              0.6057,             0.66198,             0.39592,            0.036914,            0.022596,            0.014793,           0.0030888,           0.0030888,           0.0030888
                  70,              0.0331,            0.042957,            0.011046,             0.70453,             0.61599,             0.65694,             0.40245,            0.036957,            0.023116,            0.014554,           0.0029706,           0.0029706,           0.0029706
                  71,            0.033178,            0.041332,            0.010682,             0.63852,             0.66888,             0.67109,             0.40688,            0.037201,            0.022847,            0.014306,            0.002855,            0.002855,            0.002855
                  72,            0.032906,             0.04167,            0.011616,             0.69025,             0.64584,             0.67167,             0.42044,            0.037335,            0.022493,            0.015002,           0.0027419,           0.0027419,           0.0027419
                  73,             0.03266,            0.043849,            0.010229,             0.68246,             0.62058,             0.66542,             0.41714,            0.036981,            0.022892,            0.015014,           0.0026316,           0.0026316,           0.0026316
                  74,            0.032998,            0.043529,            0.010652,             0.68242,             0.64539,             0.65788,             0.40897,            0.037795,            0.022837,            0.016018,           0.0025241,           0.0025241,           0.0025241
                  75,            0.032849,            0.045129,             0.01082,             0.68902,             0.62603,             0.65653,             0.41349,            0.037137,             0.02241,            0.015385,           0.0024195,           0.0024195,           0.0024195
                  76,            0.032257,            0.041991,            0.010521,             0.74807,             0.59862,             0.66709,             0.41195,            0.036854,            0.022626,            0.016008,            0.002318,            0.002318,            0.002318
                  77,            0.032069,            0.038559,            0.010037,             0.67424,             0.65696,             0.67459,             0.42601,            0.036512,            0.022485,            0.015897,           0.0022196,           0.0022196,           0.0022196
                  78,             0.03211,            0.041405,           0.0099898,             0.73109,             0.65527,              0.6828,             0.42766,            0.037304,            0.022458,            0.014201,           0.0021245,           0.0021245,           0.0021245
                  79,            0.032013,            0.040972,            0.010013,             0.69132,              0.6688,              0.6869,             0.44299,            0.036928,            0.022771,            0.013048,           0.0020327,           0.0020327,           0.0020327
                  80,            0.032007,            0.040533,           0.0089907,             0.73428,             0.64508,             0.67912,             0.42522,             0.03678,            0.022653,            0.014268,           0.0019443,           0.0019443,           0.0019443
